supplier_id,supplier_name,contact_name,phone,address,state,country,payment_method,payment_terms,supplier_num_orders_df,delivery_performance,supplier_rating,product_id,product_name,product_category,stock,product_unit,product_price,cost,delivery_lead_days,num_orders_df,product_rating
12,Digitube,Violante Setchfield,682-228-9706,98770 Farwell Court,Portsaid,Egypt,cash,net 30,3,on time,1.5,6,Mushroom - Porcini Frozen,poultry,612,mL,806.05,806.05,1,2,2
12,Digitube,Violante Setchfield,682-228-9706,98770 Farwell Court,Portsaid,Egypt,cash,net 30,3,on time,1.5,23,Lamb Shoulder Boneless Nz,seafood,380,L,99.21,99.21,1,1,1
13,Jetpulse,Mei Cochran,200-713-7498,6618 Dahle Trail,Damanhour,Egypt,bank transfer,immediate,1,early,2.0,32,Coffee - Flavoured,seafood,630,g,201.37,201.37,1,0,0
13,Jetpulse,Mei Cochran,200-713-7498,6618 Dahle Trail,Damanhour,Egypt,bank transfer,immediate,1,early,2.0,49,"Ham - Smoked, Bone - In",produce,429,L,492.83,46.4,2,1,3
15,Leenti,Nerti Illesley,902-270-2657,555 Mayfield Lane,Portsaid,Egypt,credit card,net 7,4,early,2.0,9,"Beans - Fava, Canned",produce,5,mL,552.58,552.58,1,2,1
15,Leenti,Nerti Illesley,902-270-2657,555 Mayfield Lane,Portsaid,Egypt,credit card,net 7,4,early,2.0,50,Breadfruit,poultry,428,mL,919.42,395.05,2,2,3
16,Kimia,Gweneth Line,865-314-9336,5473 Messerschmidt Place,Damanhour,Egypt,bank transfer,net 30,10,on time,4.5,10,Russian Prince,meat,564,mL,931.18,595.86,2,0,0
16,Kimia,Gweneth Line,865-314-9336,5473 Messerschmidt Place,Damanhour,Egypt,bank transfer,net 30,10,on time,4.5,18,Chicken Breast Halal,meat,394,g,287.14,23.3,1,5,4
16,Kimia,Gweneth Line,865-314-9336,5473 Messerschmidt Place,Damanhour,Egypt,bank transfer,net 30,10,on time,4.5,19,Wine - Remy Pannier Rose,dairy,636,g,437.59,173.26,2,0,0
16,Kimia,Gweneth Line,865-314-9336,5473 Messerschmidt Place,Damanhour,Egypt,bank transfer,net 30,10,on time,4.5,30,"Zucchini - Mini, Green",produce,287,mL,939.72,939.72,1,1,3
16,Kimia,Gweneth Line,865-314-9336,5473 Messerschmidt Place,Damanhour,Egypt,bank transfer,net 30,10,on time,4.5,44,"Pasta - Rotini, Dry",dairy,612,g,2.44,2.44,1,4,4
17,Edgepulse,Trix Blabie,887-405-3625,1 Sommers Place,Alexandria,Egypt,bank transfer,immediate,7,early,3.5,7,Guinea Fowl,seafood,947,g,833.84,833.84,2,4,5
17,Edgepulse,Trix Blabie,887-405-3625,1 Sommers Place,Alexandria,Egypt,bank transfer,immediate,7,early,3.5,12,Bread - Pumpernickel,seafood,148,kg,41.03,41.03,2,2,3
17,Edgepulse,Trix Blabie,887-405-3625,1 Sommers Place,Alexandria,Egypt,bank transfer,immediate,7,early,3.5,22,Chips Potato All Dressed - 43g,seafood,931,L,355.55,355.55,1,1,3
18,Jayo,Wenonah Cluitt,552-525-9420,0 Dorton Point,Damanhour,Egypt,credit card,net 45,7,on time,3.0,11,Plastic Wrap,seafood,323,pack,13.88,13.88,1,2,3
18,Jayo,Wenonah Cluitt,552-525-9420,0 Dorton Point,Damanhour,Egypt,credit card,net 45,7,on time,3.0,34,Onions - Red,produce,973,kg,393.35,393.35,2,0,0
18,Jayo,Wenonah Cluitt,552-525-9420,0 Dorton Point,Damanhour,Egypt,credit card,net 45,7,on time,3.0,39,Cornflakes,meat,111,kg,844.83,82.81,1,2,1
18,Jayo,Wenonah Cluitt,552-525-9420,0 Dorton Point,Damanhour,Egypt,credit card,net 45,7,on time,3.0,48,Milkettes - 2%,seafood,109,mL,814.53,364.3,1,3,2
19,Abatz,Rob Davidovitch,351-248-9124,41 Manley Park,Cairo,Egypt,cash,immediate,15,late,4.0,20,Sherry - Dry,meat,403,L,250.42,18.46,1,3,2
19,Abatz,Rob Davidovitch,351-248-9124,41 Manley Park,Cairo,Egypt,cash,immediate,15,late,4.0,26,"Veal - Inside Round / Top, Lean",poultry,578,mL,590.26,61.07,1,1,2
19,Abatz,Rob Davidovitch,351-248-9124,41 Manley Park,Cairo,Egypt,cash,immediate,15,late,4.0,37,Longan,produce,526,kg,907.42,135.37,1,5,4
19,Abatz,Rob Davidovitch,351-248-9124,41 Manley Park,Cairo,Egypt,cash,immediate,15,late,4.0,43,Wine - White Cab Sauv.on,meat,499,L,700.34,591.95,1,6,4
20,Skilith,Ardyth Lowdeane,763-245-3873,84331 Washington Terrace,Damanhour,Egypt,bank transfer,net 45,1,on time,1.5,31,Anisette - Mcguiness,seafood,309,pack,582.56,582.56,1,1,1
